max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column,strain,source_file,condition,sample
47,36,58,11,0.3502748083398921,3.4617792542825927,-2.4000349232677665,-3.613094211792026,GLUGLU_log_sample1,YET963,YET963_DATA_2901.xlsx,GLUGLU,sample1
47,35,59,12,0.3429310991307808,3.799031239573065,-2.3924741213412375,-3.6958014108760153,GLUGLU_log_sample2,YET963,YET963_DATA_2901.xlsx,GLUGLU,sample2
66,51,81,15,0.2685501450330089,5.083359949261922,-2.419239836623774,-3.784923161583036,GALGAL_log_sample1,YET963,YET963_DATA_2901.xlsx,GALGAL,sample1
68,53,83,15,0.26960502659748986,5.085092243602892,-2.4383599816395805,-3.809875017241068,GALGAL_log_sample2,YET963,YET963_DATA_2901.xlsx,GALGAL,sample2
90,73,107,17,0.237067291539969,8.740020267910213,-2.440119668426134,-4.512921722165538,RAFRAF_log_sample1,YET963,YET963_DATA_2901.xlsx,RAFRAF,sample1
96,79,113,17,0.22930506134344297,8.574994734009938,-2.4397258384912734,-4.406802362602767,RAFRAF_log_sample2,YET963,YET963_DATA_2901.xlsx,RAFRAF,sample2
84,70,98,14,0.274200317087979,8.643220033841455,-2.401775942230724,-4.772697984988326,GLUGAL_log_sample1,YET963,YET963_DATA_2901.xlsx,GLUGAL,sample1
90,76,104,14,0.2712908034339734,9.278582528059776,-2.401797970234755,-4.919999359556248,GLUGAL_log_sample2,YET963,YET963_DATA_2901.xlsx,GLUGAL,sample2
105,88,122,17,0.22465056828229263,10.903908849489694,-2.37618787067513,-4.82673741002705,GLURAF_log_sample1,YET963,YET963_DATA_2901.xlsx,GLURAF,sample1
109,91,127,18,0.22533931255139938,11.963319021248946,-2.396803860942431,-5.093688698958955,GLURAF_log_sample2,YET963,YET963_DATA_2901.xlsx,GLURAF,sample2
75,60,90,15,0.2685332610933071,6.258894090584178,-2.419073307450098,-4.100467105951696,RAFGAL_log_sample1,YET963,YET963_DATA_2901.xlsx,RAFGAL,sample1
77,63,91,14,0.2770194265914343,6.796741524918458,-2.4295355465905426,-4.313118419662874,RAFGAL_log_sample2,YET963,YET963_DATA_2901.xlsx,RAFGAL,sample2
47,36,58,11,0.3612594564579865,3.863142722256991,-2.4335157349835246,-3.8296710371665847,GALGLU_log_sample1,YET963,YET963_DATA_2901.xlsx,GALGLU,sample1
48,37,59,11,0.35348552503152064,4.142876737871732,-2.4282246240229797,-3.893257596039249,GALGLU_log_sample2,YET963,YET963_DATA_2901.xlsx,GALGLU,sample2
53,42,64,11,0.3560774580621172,4.02162814591294,-2.4699304140098843,-3.9025145751420824,RAFGLU_log_sample1,YET963,YET963_DATA_2901.xlsx,RAFGLU,sample1
52,41,63,11,0.36015124770652673,4.3872205365812045,-2.4524471891890376,-4.033142417493778,RAFGLU_log_sample2,YET963,YET963_DATA_2901.xlsx,RAFGLU,sample2
99,81,117,18,0.2125752964629239,9.86308508879572,-2.362007415019519,-4.4594946467019865,GALRAF_log_sample1,YET963,YET963_DATA_2901.xlsx,GALRAF,sample1
107,88,126,19,0.21144100637408103,11.26036546119241,-2.4564908744892686,-4.8383466220427565,GALRAF_log_sample2,YET963,YET963_DATA_2901.xlsx,GALRAF,sample2
