max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column,strain,source_file,condition,sample
53,41,65,12,0.3392946397357613,4.848758574128005,-2.437745185532293,-4.083561305554747,GLUGLU_log_sample1,YET911,YET911_DATA_2401.xlsx,GLUGLU,sample1
53,41,65,12,0.3361761446207603,5.002770744777932,-2.5360349027065117,-4.218520078177675,GLUGLU_log_sample2,YET911,YET911_DATA_2401.xlsx,GLUGLU,sample2
76,61,91,15,0.26374818106451453,6.587813209319326,-2.4892255560958687,-4.2274445948621295,GALGAL_log_sample1,YET911,YET911_DATA_2401.xlsx,GALGAL,sample1
73,58,88,15,0.26412922616759316,6.3117201933213405,-2.4885306252877553,-4.156307506488573,GALGAL_log_sample2,YET911,YET911_DATA_2401.xlsx,GALGAL,sample2
80,65,95,15,0.26252532199511025,7.8130349970419095,-2.525210293892934,-4.577150598372218,RAFRAF_log_sample1,YET911,YET911_DATA_2401.xlsx,RAFRAF,sample1
76,61,91,15,0.2678957777369728,7.700031820369093,-2.5123246444610796,-4.575956110164578,RAFRAF_log_sample2,YET911,YET911_DATA_2401.xlsx,RAFRAF,sample2
114,99,129,15,0.25957264590011686,12.746804732279635,-2.4839907609414587,-5.794036610411203,GLUGAL_log_sample1,YET911,YET911_DATA_2401.xlsx,GLUGAL,sample1
119,103,135,16,0.23440319309650137,12.390969689386678,-2.4798331684708366,-5.385478287272559,GLUGAL_log_sample2,YET911,YET911_DATA_2401.xlsx,GLUGAL,sample2
107,90,124,17,0.23179109813476484,12.514809637635143,-2.473789763030742,-5.375772024790434,GLURAF_log_sample1,YET911,YET911_DATA_2401.xlsx,GLURAF,sample1
100,83,117,17,0.2287551632307827,11.865553574148676,-2.4983072301488662,-5.213700031947563,GLURAF_log_sample2,YET911,YET911_DATA_2401.xlsx,GLURAF,sample2
86,71,101,15,0.26418745300581886,8.109275011907734,-2.494349250130245,-4.637575251650489,RAFGAL_log_sample1,YET911,YET911_DATA_2401.xlsx,RAFGAL,sample1
77,62,92,15,0.2687920591693276,7.2752362014901175,-2.492801446084388,-4.449109688923289,RAFGAL_log_sample2,YET911,YET911_DATA_2401.xlsx,RAFGAL,sample2
60,49,71,11,0.351018174281462,4.958266318164752,-2.4435920184080544,-4.184730064229841,GALGLU_log_sample1,YET911,YET911_DATA_2401.xlsx,GALGLU,sample1
55,44,66,11,0.3629945211975057,4.971943523341204,-2.5295151354242473,-4.335025598285672,GALGLU_log_sample2,YET911,YET911_DATA_2401.xlsx,GALGLU,sample2
50,39,61,11,0.3589125366424899,4.504879382609981,-2.5448342278445377,-4.162338916200882,RAFGLU_log_sample1,YET911,YET911_DATA_2401.xlsx,RAFGLU,sample1
50,39,61,11,0.36075380590537587,4.4562253318696206,-2.4892973112859735,-4.097540857148231,RAFGLU_log_sample2,YET911,YET911_DATA_2401.xlsx,RAFGLU,sample2
94,77,111,17,0.23297093385068424,10.087783333397805,-2.5382839547645264,-4.8893846987271665,GALRAF_log_sample1,YET911,YET911_DATA_2401.xlsx,GALRAF,sample1
99,81,117,18,0.22331378598416562,9.649260187214026,-2.522285200216602,-4.677960294607401,GALRAF_log_sample2,YET911,YET911_DATA_2401.xlsx,GALRAF,sample2
55,43,67,12,0.3466179489644059,4.924887620173017,-2.435895223146945,-4.1436327639478305,GLUGLU_log_sample1,YET937,YET937_DATA_2401.xlsx,GLUGLU,sample1
49,37,61,12,0.33473071681092326,4.385868014502702,-2.466841569037189,-3.9355137822550663,GLUGLU_log_sample2,YET937,YET937_DATA_2401.xlsx,GLUGLU,sample2
